vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos
0.0,0.695,0.305,0.9441,0.010577681474387646,0.03881572559475899,0.9506065845489502
0.138,0.862,0.0,-0.5664,0.7167679667472839,0.27122509479522705,0.012006952427327633
0.091,0.754,0.155,0.8265,0.005176289472728968,0.07785763591527939,0.9169660210609436
0.0,1.0,0.0,0.0,0.002918593818321824,0.047124557197093964,0.9499568343162537
0.0,0.552,0.448,0.9468,0.0045271520502865314,0.009283231571316719,0.9861896634101868
0.029,0.809,0.163,0.883,0.004591651726514101,0.027828341349959373,0.9675800204277039
0.034,0.693,0.273,0.9346,0.004291239660233259,0.014205648563802242,0.9815031290054321
0.0,0.52,0.48,0.9487,0.0043449439108371735,0.007071939762681723,0.9885830879211426
0.0,0.851,0.149,0.6369,0.0034733291249722242,0.05700889602303505,0.9395177364349365
0.0,0.705,0.295,0.8313,0.0038951756432652473,0.03380877524614334,0.9622960686683655
0.017,0.846,0.137,0.9746,0.01753517985343933,0.06135638430714607,0.9211084246635437
0.113,0.887,0.0,-0.7579,0.2916654646396637,0.5993607640266418,0.10897380113601685
0.031,0.923,0.046,0.296,0.13839198648929596,0.4804065227508545,0.38120144605636597
0.0,0.355,0.645,0.9466,0.0030225939117372036,0.00676571624353528,0.9902116656303406
0.104,0.632,0.264,0.6486,0.0028899635653942823,0.016907071694731712,0.9802029132843018
0.0,0.861,0.139,0.5719,0.003869301173835993,0.014176828786730766,0.9819538593292236
0.097,0.694,0.209,0.7481,0.0044256229884922504,0.027606505900621414,0.9679678678512573
0.0,0.61,0.39,0.8883,0.002361062914133072,0.008794992230832577,0.9888439178466797
0.012,0.885,0.103,0.8957,0.002455249195918441,0.10876541584730148,0.88877934217453
0.0,0.863,0.137,0.6077,0.006226637866348028,0.03297865763306618,0.9607946872711182
0.0,0.865,0.135,0.6249,0.013676906935870647,0.07095829397439957,0.9153648018836975
0.0,0.739,0.261,0.9153,0.0025219256058335304,0.017771180719137192,0.979706883430481
0.0,0.768,0.232,0.7687,0.0107961967587471,0.032362934201955795,0.9568409323692322
0.085,0.771,0.143,0.2617,0.017183570191264153,0.06179090589284897,0.9210254549980164
